2024-11-15 11:12:37,751:INFO:Determined expected graph feature length: 874
2024-11-15 11:12:37,759:INFO:Loaded graph features from ./graph_feature/reentrancy/reentrancy_final_train.txt.
2024-11-15 11:12:37,765:INFO:Loaded graph features from ./graph_feature/reentrancy/reentrancy_final_valid.txt.
2024-11-15 11:12:37,769:INFO:Loaded labels from ./graph_feature/reentrancy/label_by_experts_train.txt.
2024-11-15 11:12:37,773:INFO:Loaded labels from ./graph_feature/reentrancy/label_by_experts_valid.txt.
2024-11-15 11:12:38,341:ERROR:Error loading ./pattern_feature/feature_FNN/reentrancy/train/g1_50036.txt: could not convert string '-0.281830 0.409485 -0.186818 -0.128807 -0.061644 0.393234 -0.189538 -0.241677 -0.200674 0.020376 -0 to float64 at row 0, column 1.
2024-11-15 11:12:38,347:ERROR:Error loading ./pattern_feature/feature_FNN/reentrancy/train/g2_2253.txt: could not convert string '0.084216 -0.096588 0.011114 -0.277459 0.247508 -0.043344 -0.069244 0.239056 0.058701 -0.224329 -0.2 to float64 at row 0, column 1.
2024-11-15 11:12:38,354:ERROR:Error loading ./pattern_feature/feature_FNN/reentrancy/train/g3_50068.txt: could not convert string '-0.002449 0.076095 0.279047 -0.317169 -0.123449 -0.133341 0.188962 0.141384 0.018982 0.114729 0.041 to float64 at row 0, column 1.
2024-11-15 11:12:38,359:ERROR:Error loading ./pattern_feature/feature_FNN/reentrancy/train/g4_40497.txt: could not convert string '0.305234 -0.046185 0.059566 0.023079 0.019745 0.212075 -0.084557 -0.079460 -0.152860 -0.175351 0.09 to float64 at row 0, column 1.
2024-11-15 11:12:38,363:ERROR:Error loading ./pattern_feature/feature_FNN/reentrancy/train/g4_19714.txt: could not convert string '0.246630 0.133783 -0.117122 -0.111112 -0.032054 0.149930 -0.133679 -0.148035 0.286356 0.121733 -0.0 to float64 at row 0, column 1.
2024-11-15 11:12:38,370:ERROR:Error loading ./pattern_feature/feature_FNN/reentrancy/train/g1_39341.txt: could not convert string '-0.047766 0.030421 -0.003999 -0.145450 0.086498 0.351700 0.231548 -0.105203 -0.077194 0.029548 -0.6 to float64 at row 0, column 1.
2024-11-15 11:12:38,375:ERROR:Error loading ./pattern_feature/feature_FNN/reentrancy/train/g3_22370.txt: could not convert string '-0.195061 -0.174825 0.309321 0.048487 -0.002683 -0.062625 0.049381 0.012665 0.022900 0.244567 0.074 to float64 at row 0, column 1.
2024-11-15 11:12:38,380:ERROR:Error loading ./pattern_feature/feature_FNN/reentrancy/train/g2_30101.txt: could not convert string '0.192922 0.360315 -0.139273 -0.159395 -0.353492 0.146675 0.015675 -0.001552 0.243171 0.465385 -0.00 to float64 at row 0, column 1.
2024-11-15 11:12:38,389:ERROR:Error loading ./pattern_feature/feature_FNN/reentrancy/train/g4_2777.txt: could not convert string '0.122627 -0.146119 -0.099872 0.143502 0.097407 0.200255 -0.051205 0.223990 0.118775 0.177064 -0.067 to float64 at row 0, column 1.
2024-11-15 11:12:38,407:ERROR:Error loading ./pattern_feature/feature_FNN/reentrancy/train/g2_50664.txt: could not convert string '0.028917 -0.109581 -0.226952 0.090595 -0.185664 0.029837 0.122372 0.191032 -0.308309 0.014220 -0.32 to float64 at row 0, column 1.
2024-11-15 11:12:38,412:ERROR:Error loading ./pattern_feature/feature_FNN/reentrancy/train/g3_50024.txt: could not convert string '-0.289769 -0.079825 -0.278785 0.257844 0.125691 -0.318199 -0.085461 -0.142532 0.070350 0.185039 0.1 to float64 at row 0, column 1.
2024-11-15 11:12:38,419:ERROR:Error loading ./pattern_feature/feature_FNN/reentrancy/train/g3_42.txt: could not convert string '-0.269745 0.180399 0.175704 0.202966 0.682827 -0.006823 0.063925 -0.160119 -0.122495 -0.184388 -0.1 to float64 at row 0, column 1.
2024-11-15 11:12:38,428:ERROR:Error loading ./pattern_feature/feature_FNN/reentrancy/train/g1_18438.txt: could not convert string '0.063378 0.254591 0.072226 0.344049 0.299489 -0.080309 0.168168 0.024399 -0.297663 0.134196 0.29245 to float64 at row 0, column 1.
2024-11-15 11:12:38,433:ERROR:Error loading ./pattern_feature/feature_FNN/reentrancy/train/g1_40413.txt: could not convert string '-0.372654 0.210608 0.306597 0.082780 0.437122 0.082648 -0.326682 -0.274794 -0.237053 -0.169712 -0.0 to float64 at row 0, column 1.
2024-11-15 11:12:38,439:ERROR:Error loading ./pattern_feature/feature_FNN/reentrancy/train/g1_50023.txt: could not convert string '-0.120795 0.149458 0.199832 -0.245934 -0.388160 0.065529 0.177774 -0.343343 0.235099 -0.153045 -0.0 to float64 at row 0, column 1.
2024-11-15 11:12:38,444:ERROR:Error loading ./pattern_feature/feature_FNN/reentrancy/train/g2_38876.txt: could not convert string '-0.538026 -0.316967 -0.334312 0.044104 -0.095987 0.264851 0.263094 -0.096369 -0.182856 0.178779 -0. to float64 at row 0, column 1.
2024-11-15 11:12:38,449:ERROR:Error loading ./pattern_feature/feature_FNN/reentrancy/train/g2_318.txt: could not convert string '0.093065 0.169198 0.143435 -0.201985 -0.234697 0.007385 0.198646 0.094344 -0.120096 -0.099209 0.017 to float64 at row 0, column 1.
2024-11-15 11:12:38,453:ERROR:Error loading ./pattern_feature/feature_FNN/reentrancy/train/g2_211.txt: could not convert string '-0.249018 0.056466 -0.249110 0.069382 -0.099590 0.252160 0.186848 0.189672 0.136531 0.332984 0.2340 to float64 at row 0, column 1.
2024-11-15 11:12:38,458:ERROR:Error loading ./pattern_feature/feature_FNN/reentrancy/train/g4_19182.txt: could not convert string '0.020473 0.045605 -0.121764 0.175024 0.176296 0.152709 -0.073969 0.073325 -0.020457 0.011049 -0.043 to float64 at row 0, column 1.
